Month,Tradevalue_USD
january,23.611129872562138
february,28.387751961522696
march,35.45064407981358
april,25.695589116661193
may,21.59609871572564
june,21.906765947687543
july,22.842888654437253
august,20.705479237094085
september,20.250587806492923
october,17.023020567118063
november,23.233236611306403
december,15.058727222700346
