pharmacy_name,fda_name,matched_tokens,pharmacy_outlets,pharmacy_regions,pharmacy_mmdas,fda_total_products,fda_drug_products,fda_food_products,combined_score
Kama Industries Limited,Kama Industries Limited,"industries, kama",1,1,1,5,5,0,1.24
East Cantonments P'Cy,East Cantonments Pharmacy Limited No 1 Omega Drive Adabraka Accra,"cantonments, east",1,1,1,4,1,0,1.12
Astra Investments Limited,Astra Investments Limited,"astra, investments",1,1,1,4,4,0,1.12
Moon Pharma Ghana Limited,Moon Pharma Ghana Limited Moon P O Box An 8384 Accra-North,"moon, pharma",1,1,1,4,3,0,1.12
East Cantonments Pharmact,East Cantonments Pharmacy Limited No 1 Omega Drive Adabraka Accra,"cantonments, east",1,1,1,4,1,0,1.12
Mega Lifescience Gh.Limited,Mega Lifescience Pty Limited,"lifescience, mega",1,1,1,3,3,0,0.96
Great Odum Pharmacy Limite,Great Odum Company Limited,"great, odum",1,1,1,2,2,0,0.76
Happy Life Pharmacy Limited,"Happy Life Food Ventures, C/R","happy, life",1,1,1,2,0,2,0.76
Amponsah-Efah Pharmaceuti,"Amponsah-Efah Pharmaceuticals Limited,A/R","amponsah, efah",1,1,1,2,1,1,0.76
Destiny Command Chemist,Destiny Command Logistics Limited. Accra G/R,"command, destiny",2,1,2,1,0,1,0.76
Beach Road Pharmacy,"My Maa Foods Enterprise, Beach Road, Q1 Anita Mensah St. Ws-347-7336, W/R","beach, road",2,1,1,1,0,1,0.76
Mayson Pharmaceuticals Limited,"Mayson Pharmaceuticals Limited - Achimota Mile-7 Roundabout, Accra","mayson, pharmaceuticals",1,1,1,2,2,0,0.76
Tridem Pharma Ghana Limited,Tridem Pharma Ghana Limited - 66/C Nii Bonnie Crescent Dzorwulu Accra,"pharma, tridem",1,1,1,2,1,0,0.76
Pills & Tabs Pharmacy,Pills And Tabs Pharmacy Limited - Plot No,"pills, tabs",1,1,1,2,2,0,0.76
Kripa Pharma Limited,Kripa Pharma Limited,"kripa, pharma",1,1,1,2,2,0,0.76
Asterisk Lifesciences,Asterisk Lifesciences,"asterisk, lifesciences",1,1,1,2,2,0,0.76
Sterling Pharmaceuticals Limited,Sterling Pharmaceuticals Limited,"pharmaceuticals, sterling",1,1,1,2,2,0,0.76
Remedy Pharma Limited,Remedy Pharma,"pharma, remedy",1,1,1,2,2,0,0.76
Samsed Medicals & Healthcar,Samsed Medicals And Healthcare Limited,"medicals, samsed",1,1,1,2,2,0,0.76
Care Plus Pharmacy Limited,"Care Plus Pharmacy Limited - Plot No. 7 North Patsi, Kumasi","care, plus",1,1,1,2,2,0,0.76
Roche Products Ghana Limited,Roche Products Ghana Limited,"products, roche",1,1,1,2,2,0,0.76
Cape Coast Pharmacy,"Abok Spices, Cape Coast, C/R","cape, coast",1,1,1,2,0,2,0.76
Novomed Pharma,"Novomed Pharma House No. 1, Dede Adim Street, Galilee Junction, Ablekuma","novomed, pharma",1,1,1,1,1,0,0.48
Omer Investments Limited,Omer Investments Limited,"investments, omer",1,1,1,1,1,0,0.48
Kydes Pharmaceuticals Limited,Kydes Pharmaceuticals Llc University Of Maryland Baltimore County Research & Technology Park,"kydes, pharmaceuticals",1,1,1,1,1,0,0.48
Darose Pharmaceuticals,Darose Pharmaceuticals Limited,"darose, pharmaceuticals",1,1,1,1,1,0,0.48
Alpha Duo Pharma,Alpha Duo Pharma Limited,"alpha, pharma",1,1,1,1,1,0,0.48
Staraid Care Limited,Staraid Care Limited,"care, staraid",1,1,1,1,1,0,0.48
Zutron Pharmaceuticals Limited,Zutron Pharmaceuticals Limited,"pharmaceuticals, zutron",1,1,1,1,1,0,0.48
Royal Charisma Pharmacy Limited,Royal Charisma Pharmacy,"charisma, royal",1,1,1,1,1,0,0.48
Three Brothers Pharmacy,Three Brothers Herbal Centre,"brothers, three",1,1,1,1,1,0,0.48
Surgecare & Pharma Limited,Surgecare Pharma Limited,"pharma, surgecare",1,1,1,1,1,0,0.48
Boundary Road Pharmacy,Zutron Pharmaceuticals Limited 100 Boundary Road Ogbojo East Legon,"boundary, road",1,1,1,1,1,0,0.48
Burma Camp Pharmacy Limite,"Jamang Nala Limited, Burma Camp, Accra","burma, camp",1,1,1,1,0,1,0.48
K.Somuah & Sons Pharmacy,"K Somuah And Sons, Wiafco House, Okaishie, Accra","somuah, sons",1,1,1,1,1,0,0.48
J.M. Addo & Sons Limited,"J.M. Addo & Sons Pharmacy Limited P. O. Box 1943 Accra, Ghana","addo, sons",1,1,1,1,1,0,0.48
Emery Sante Pharmacy,Emery Sante Limited - 34 Lartebiokorshie Road,"emery, sante",1,1,1,1,1,0,0.48
Fresh Spring Chemists Limited,"Spring Fresh-Ripples, Accra","fresh, spring",1,1,1,1,0,1,0.48
