region,district,population
Upper West,Jirapa Municipal,91194
Eastern,Akyemansa,91017
Upper East,Kasena Nankana West,90782
Central,Assin Fosu Municipal,89218
Western North,Juaboso,88840
Eastern,Abuakwa South Municipal,88762
Eastern,New Juaben North Municipal,88520
Bono East,Kintampo South,88411
Ahafo,Tano South Municipal,87177
Upper East,Talensi,87090
North East,Chereponi,87055
Upper East,Tempane,86925
Ashanti,Asante Akim North Municipal,85679
Ashanti,Adansi South,85554
Ashanti,Offinso North,83643
Volta,Central Tongu,83273
Volta,Ho West,83083
Northern,Zabzugu,82754
Eastern,Birim North,82673
North East,Bunkpurugu Nakpanduri,82391
Central,Gomoa Central,82379
Upper East,Pusiga,80606
Central,Assin North,80601
Upper West,Sissala East Municipal,80593
Eastern,Kwahu East,80320
Oti,Krachi Nchumuru,80014
Eastern,Kwahu South Municipal,79700
Volta,Keta Municipal,78705
Eastern,Asene Manso Akroso,77437
Upper West,Nadowli Kaleo,77064
Upper East,Binduri,76836
Eastern,Denkyembuor,76757
Greater Accra,Ada East,76717
Eastern,Akwapim South Municipal,76533
Eastern,Birim Central Municipal,76244
Greater Accra,Ada West,75978
Eastern,Abuakwa North Municipal,75871
Greater Accra,Ayawaso West Municipal,75260
Ashanti,Sekyere East,74747
Northern,Tatale Sanguli,74694
Eastern,Kwahu Afram Plains South,74256
Oti,Kadjebi,73769
Ahafo,Asutifi North,73547
Ashanti,Afigya Kwabre North,73180
Volta,Afadzato South,73162
Ashanti,Sekyere Central,72896
Bono East,Sene East,72203
Ashanti,Adansi Asokwa,71958
Upper East,Garu,71715
Oti,Biakoye,71629
Eastern,Upper Manya Krobo,70500
Bono East,Sene West,70153
Bono East,Pru West,69812
Greater Accra,Korle Klottey Municipal,68698
North East,Mamprugu Moagduri,68690
Bono,Dormaa East,68110
Ahafo,Asutifi South,67382
Western North,Sefwi Akontombra,66767
Eastern,Kwahu Afram Plains North,66402
Central,Twifo Heman Lower Denkyira,66166
Western North,Bodi,65844
Ashanti,Ahafo Ano South West,65378
Eastern,Atiwa East,64615
Ashanti,Sekyere Kumawu,64310
Ashanti,Juaben Municipal,63977
Upper West,Sissala West,63814
Ashanti,Ahafo Ano South East,63404
Savannah,West Gonja,63343
Greater Accra,Ayawaso North Municipal,62985
Ashanti,Bosome Freho,62224
Savannah,North Gonja,61547
Oti,Krachi West Municipal,61503
Eastern,Atiwa West,61283
Oti,Jasikan Municipal,59737
Volta,Kpando Municipal,58470
Upper West,Lawra Municipal,58428
Volta,South Dayi,57518
Eastern,Fanteakwa North,56953
North East,Yunyoo Nasuan,56931
Central,Ekumfi,56759
Upper East,Builsa North Municipal,56490
Bono East,Nkoranza North,56457
Eastern,Achiase,56322
Eastern,Fanteakwa South,54961
Ashanti,Adansi North,54253
Western North,Bia East,53132
Upper East,Nabdam,53040
Greater Accra,Ayawaso East Municipal,52780
Western,Mpohor,51829
Eastern,Okere,51605
Upper West,Nandom,51210
Upper West,Lambussie Karni,51129
Northern,Nanton,50771
Bono,Berekum West,49564
Ashanti,Akrofuom,49185
Bono,Dormaa West,47937
Volta,Agortime-Ziope,40127
Volta,North Dayi,39642
Savannah,North East Gonja,39480
Upper East,Bolgatanga East,38824
Volta,Adaklu,38752
Upper West,Daffiama Bussie Issa,38750
Western North,Suaman,38268
Upper East,Builsa South,36656
Eastern,Birim South,35522
Ashanti,Sekyere Afram Plains,33173
Volta,Akatsi North,32725
Oti,Guan,28268
Bono,Banda,28103
