active_ingredient,count
sulfadoxine_pyrimethamine_amodiaquine,2
paracetamol/caffeine/phenylephrine hcl/chlorpheniramine maleate,2
misoprostol/mifepristone,2
total fat/ saturated fat/ cholesterol/ sodium/total carbohydrate/ dietary fiber/ total sugars / protein/ calcium/ iron/ potassium,2
doxycycline (as hyclate)/ colistin sulphate,2
ondansetron hydrochloride,2
dihydrocodeine tartrate,2
cyproheptadine,2
cyproheptadine hcl (anhydrous) bp/vitamin a (as palmitate) bp/vitamin d3 bp/thiamine hydrochloride bp/riboflavin bp/cyanocobalamin bp/niacinamide bp/calcium pantothenate bp/calcium lactate bp,2
cyproheptadine hcl (anhydrous) / vitamin b1 / vitamin b2 / vitamin b6 / d-panthenol / vitamin b3,2
phenylephrine hcl / paracetamol / chlorpheniramine,2
vitamin b1/ vitamin b2/ vitamin b6/ nicotinamide/ calcium pantothenate,2
oxytetracycline hydrochloride / neomycin sulphate / vitamin a/ vitamin d3/ vitamin e,2
"live, lentogenic ranikhet (newcastle) disease virus, tanuvas d58 strain)ta",2
live fowl pox vaccine,2
glucosamine sulphate/ chondroitin sulphate/ hyaluronic acid/ methylsulfonylmethene/ vitamin d3,2
metoclopramide hydrochloride,2
anoxicillin/clavulanic acid,2
carmellose sodium,2
sodium citrate dihydrate b.p. diphenhydramine hydrochloride b.p. menthol b.p. chlorpheniramine maleate b.p. ammonium chloride b.p.,2
hydrocortisone acetate/lidocaine/zinc oxide/allantoin,2
aluminium hydroxide,2
ferrous glycine sulphate/ folic acid,2
l-carnitine l-tartrate/ ubiquinol/ zinc sulphate monohydrate/ lycopene 6%/ l-arginine/ melatonin / selenomethionine/vitamin d/ astaxanthin/ superoxide dismutase,2
magnesium bisglycinate/ ubiquinol/ dha 12%/ l-arginine/ lycopene 6%/ zinc sulphate monohydrate/melatonin/l-methylfolate calcium/ selenomethionine/vitamin d/suoeroxide dismutase,2
vit a/vit d3/vit e/vit b1/vit b2/vit b6/vit b12/niacinamide/d-panthenol/l-lysine/ferrous gluconate/zinc gluconate/magnesium gluconate 1500iu/100iu/3mg/1.5mg/1.5mg/1mg/1.5mcg/5mg/30mg/2.5mg/40mg/60mg/34.85mg/185.41mg,2
dextromethorphan/ chlorpheniramine/phenylephrine,2
paracetamol/phenylephrine hydrochloride/chlorphenamine maleate/menthol,2
betamethasone diproprionate/ neomycin sulfate/ clotrimazole,2
cyproheptadine hcl anhydrous/vitamin b1 (thiamine hydrochloride)/vitamin b2 (riboflavin)/vitamin b6 (pyridoxine hydrochloride)/nicotinamide/calcium pantothenate,2
clotrimazole+betamethasone dipropionate+neomycin sulphate,2
ferrous sulfate 75mg (contains 15mg of elemental iron) ascorbic acid 12.5mg folic acid 1mg folic acid 1mg zinc sulfate monohydrate 0.15mg,2
ketoconazole/ clobetasol/ neomycin sulphate,2
multivitamins and multiminerals,2
b-nicotinamide mononucleotide/pyrroloquinoline quinine disodium salt,2
epa / dha,2
vit a/vit b3/vit b6/biotin/vit c/vit e/selenium/zinc/glutathione/collagen peptides/hyaluronic acid/green tea/mixed caretenoids/aloe vera extract/pomegranate/grape seed extract/lycopene/astanxanthin/resveratrol 1500iu/12mg/0.75mg/30mcg/15mg/10mg/20mcg/7.5mg/100mg/200mg/5mg/40mg/15mg/10mg/10mg/5mg/3mg/1.2mg/1mg,2
omega 3 fatty acids,2
cod liver oil,2
vit a/vit b3/vit b6/biotin/vit c/vit e/selenium/zinc/glutathione/collagen peptides/hyaluronic acid/green tea/mixed caretenoids/aloe vera extract/pomegranate/grape seed extract/lycopene/astanxanthin/resveratrol,2
vit a/vit d3/vit b1/vit b2/vit b6/vit b12/nicotinamide/calcium pantothenate/calcium/phosphorus/iron/copper/magnesium/potassium/zinc/ginseng extract/aloe vera,2
coenzyme q10/vit d3/vit e/vit c/vit b1/vit b2/vit b3/vit b6/vit b12/folic acid/vit b5/biotin/iron/magnesium/manganese/copper/chromium/selenium/zinc/l-arginine/l-arginine/dl-methionine/l-lysine/glutamic acid/ginseng extract/citrus bioflavonoids,2
amoxicillin trihydrate/flucloxacillin sodium,2
taurine/acetylcysteine/500mg/150mg,2
iohexol,2
organic iodine,2
coenzyme q10 /vit d3 /vit e /vit c /vit b1 /vit b2 /vit b3 /vit b6 /vit b12 /folic acid /vit b5 /biotin /iron /magnesium /manganese /copper /chromium /selenium /zinc /l-arginine /l-arginine /dl-methionine /l-lysine /glutamic acid /ginseng extract /citrus bioflavonoids,2
ferric ammonium citrate/ vitamin b12/ vitamin b6/ nicotinamide/ zinc sulfate,2
saccharomyces boulardi,2
labetalol hydrochloride,2
paracetamol/aceclofenac,2
flucloxacillin sodium b.p. equivalent to flucloxacillin,2
vit a /vit d3 /vit e /vit c /vit b1 /vit b2 /vit b3 /vit b6 /vit b12 /folic acid /vit b5/vit b5/vit k/biotin/iron/magnesium/manganese/copper/chrmium/selenium/zinc/evening primrose oil/citrus bioflavonoids/borage/green tea extract/ginkgo biloba extract,2
each soft gelatin capsule contains evening primrose oil/vitamin a/vitamin d3/vitamin e/vitamin c/vitamin b1/vitamin b2/vitamin b3/pantothenic acid/vitamin b6/folic acid/vitamin b12/biotin/iron/magnesium/manganese/copper/selenium/zinc/aloe vera extract/gingko biloba extract/borage/citrus bioflavonoid 60%/horsetail extract/bilberry extract/grapeseed extract (95% opc)/l-carnitine/inositol/leutin 10%/natural mixed carotene (10% oil dispersion)/raspberry extract/ashwagandha extract,2
ferrous ascorbate /folic acid bp/ zinc sulfate monohydrate bp,2
xylometazoline,2
fluticasone furoate,2
"polio viruses (sabin strains), live attenuated types 1 & 3",2
cranberry extract,2
budedsoride/formoterol fumerate dehydrate,2
dextromethorphan hydrobromide/chlorphenamine maleate,2
lidocaine/ vitamin e,2
ascorbic acid/calcium d-pantothenate/colecalciferol /cyanocobalamin/nicotinamide/pyridoxine hydrochloride/riboflavin sodium phosphate/thiamine hydrochloride/vitamin a palmitate,2
polyethylene glycol/sodium chloride/ potassium chloride/ sodium bicarbonate/ sodium sulphate anhydrous,2
paracetamol/ pheniramine maleate/ ascorbic acid,2
amoxicillin trihydrate & potassium clavulanate,2
benzathine benzylpenicillin,2
glucose / sodium chloride,2
vitamin c/ vitamin d3/ zinc,2
coenzyme q10,2
glimeperide,2
celecoxib bp,2
fusidic acid,2
magnesium glycinate,2
thiamine hcl/ riboflavine/ nicotinamide/ ascorbic acid/ pyridoxine hcl/ vitamin a palmitate/ vitamin d3/ vitamin b12/ d-pantothenol/ alpha tocopherol acetate/ folic acid/ d-biotin,2
ammonium chloride / sodium citrate / menthol / squill tincture,2
bacillus clausii spores,2
human papillomavirus 9-valent vaccine recombinant,2
sitagliptin phosphate monohydrate,2
hmetformin,2
vitamin a acetate/vitamin b1/vitamin b2/vitamin d/calcium d-pantothenate/nicotinamide,2
l-carnitine l-tartrate/ ubiquinol/ zinc sulphate monohydrate/lycopene 6%/l-arginine/melatonin/ selenomethionine/vitamin d/ astaxanthin/ superoxide dismutase,2
menthol/eucalyptus oil,2
atazanavir sulfate/ ritonavir,2
dolutegravir/emtricitabine/tenofovir-alafenamide,2
efavirenz/ emtricitabine/ tenofovir alafenamide,2
tenofovir alafenamide,2
each soap contains sodium palmate/sodium palm kernelate/water/glycerin/fragrance/titanium dioxide/tetrasodium edta/sodium chloride,2
dolutegravir sodium,2
vitamin a/ vitamin d3/ vitamin e,2
carbetocin,2
sevelamer carbonate,2
thiamine hydrochloride/riboflavin sodium phosphate/nicotinamide bp/pyridoxine hydrochloride/d-panthenol bp,2
cyproheptadine hcl bp/ lysine hcl bp/vitamin b1 bp/ vitamin b6 bp/vitamin b12 bp/ nicotinamde bp,2
caffeine anhydrous/paracetamol/chlorpheniramine maleate,2
dihydropyridine,2
vitamin e/omega 3 fatty acids/eicosapentaenoic acid (epa)/docohexaenoic acid (dha)/alpha-linolenic acid/omega 6 fatty acids/linoleic acid/gamma linolenic acid/omega 9 fatty acids/oleic acid,2
montelukast sodium/ levocetirizine hydrochloride,2
tenofovir disoproxil fumarate/emtricitabine,2
thiamine/riboflavin/pyridoxine/niacin/pantothenic acid/vitamin a/vitamin d/vitamin e/calcium,2
oxytetracycline as dihydrate,2
dietary fibre/calcium/iron/phosphorus/iodine/magnesium/zinc/selenium/copper/manganese/molybdenum,2
"forever garcinia plus-chromium 100mcg/garcinia 500mg, forever therm-vitamin c 75mg/vitamin b1 1mg/vitamin b2 1.4mg/niacin 10mg and forever fiber- acacia gum/soluble corn fiber /soluble corn dextrin/ fructo-oligosaccharides",2
melatonin/ashwarganda/lemon,2
( vitamin d/vitamin e/vitamin c/thiamin/riboflavin/niacin/vitamin b6/folic acid/vitamin b12/ vitamin a/biotin 2.5mcg/6mg/40mg/0.55mg/0.7mg/ 8mg/ 0.7mg/100mcg/1.2mcg/400mcg/ 3mg/2mg/3.75mg ),2
rituximab,2
folate/vitamin b12​ ​400mcg/500mcg,2
bevacizumab,2
pertuzumab/trastuzumab,2
carboprost,2
finerenone,2
iopromide,2
sodium alginate/ sodium bicarbonate/ calcium carbonate,2
vitamin b complex,2
cholecalciferol,2
cyproheptadine/ b-complex,2
guaphenesin/diphenhydramine hcl/sodium citrate/menthol,2
l-lysine,2
mycophenolate,2
menthol/ mn/eucalyptus oil,2
insulin human,2
travoprost,2
amlodipine besylate/hydrochlorothiazide/valsartan,2
diclofenac resinate (diclofenac sodium and chlolestyramine,2
valsartan/hydrochlorothiazide,2
sitagliptin,2
ciclosporin,2
levonorgestrel / ethinyl estradiol/ ferrous fumarate,2
menotropin,2
leuprolide,2
(glucosamine sulphate 750mg/ chondroitin sulphate 300mg/ ginger root 75mg/ vitamin d 25mcg/ vitamin c 80mg/ calcium 800mg/ magnesium 150mg/ zinc 15mg/ copper 1000mcg/ manganese 0.5mg/ selenium 50mcg),2
sodium citrate dihydrate b.p/ diphenhydramine hydrochloride b.p/ menthol b.p,2
myo-inositol/ d-chiro inositol/ calcium/ magnesium/ coenzyme q10/zinc /folate /vitamin k2/ vitamin b12/vitamin d3/chromium,2
trastuzumab ematasine,2
levetiracetam,2
esomeprazole magenesium dihydrate usp,2
"vitamin a/vitamin d3/vitamin e/calcium pantothenate/vitamin b1/vitamin b2/vitamin b6/vitamin b12/folic acid/nicotinamide/vitamin k3/tryptophan,lysine/glycine/valine/cystine/methione/proline/serine/tryosine",2
amlodipine besylate/telmisartan,2
hydrochlorothiazide/lisinopril,2
desmopressin acetate,2
n/a,2
dextrose ( anhydrous) bp/ potassium chloride bp/sodium chloride bp / sodium citrate,2
phloroglucinol dihydrate,2
loperamide,2
magnesium sulphate,2
vitamin a/vitamin b1/vitamin b2/vitamin b3/vitamin b5/vitamin b6/folic acid/vitamin b12/biotin/iron/zinc/copper/iodine/selenium/eicospataenoic acid/docosahexaenoic acid,2
biotin / inositol / vitamin d / vitamin e / vitamin c / vitamin b1 / vitamin b2 / vitamin b6 /niacin / folic acid / pantothenic acid / magnesium,2
colistin sulphate/ erythromycin thiocyanate/ neomycin/ oxytetracycline hcl/ streptomycin/ vitamin a acetate/ cholecalciferol/ vitamin e/ vitamin k3/ vitamin b1/ vitamin b2/ vitamin b6/ vitamin b12/ vitamin b3/ vitamin c/ inositol/ calcium d-pantothenate,2
"vitamin d3,zinc,ascorbic acid,vitamin b1,vitamin b2,niaciminade,vitamin b6,vitamin b12,folic acid,d- pathenol, iron, copper, manganese, selenium, iodine,l-lysine hcl, vitamin e, honey,malt extract",2
benzyl benzoate,2
lysine/methionine/cystine/tryptophan/threonine/bleed of phytogenics/blend of essential oils/calcium/pphosphorus/sodium/vitamin a/vitamin d3/vitamin e/vitamin k3/vitamin b1/vitamin b2,2
omega-3 fatty acids,2
pholcodine,2
paracetamol/phenylephrine/guaifenesin/cetylpyridinium chloride,2
glucosamine sulfate postassium chloride/cod liver bp/epa/dha,2
atosiban,2
cyproheptadine hydrochloride/l-lysine/vitamin b1/vitamin b2/vitamin b6/niacinamide/zinc sulphate/manganese sulphate,2
paracetamol bp,2
norethisterone,2
adrenaline acid tartrate bp eq. to adrenaline bp,2
glucose anhydrous eq. to glucose monohydrate/sodium chloride/sodium lactate/calcium chloride dihydrate/ magnesium chloride hexahydrate,2
felodipine,2
insulin,2
osimertinib,2
magnesium trisilicate/light magnesium bicarbonate/ sodium bicarbonate,2
magnesium sulphate/ conc senna infusion,2
potassium citrate,2
amitryptyline,2
iron(iii) polymaltose/folic acid,2
spirinolactone usp,2
thiamine hcl/riboflavin/nicotinamide,2
benzoyl metronidazole,2
multivitamins/amino acid,2
quetiapine fumarate,2
insulin degludec,2
human insulin,2
(each vial contains omeprazole sodium 40mg),2
nimodipine,2
iron(iii) hydroxide polymaltose complex equivalent to elemental iron/ folic acid bp/ vitamin b12 bp,2
cycloserine,2
vitamin a/ vitamin d3/ vitamin b1/ vitamin b2/ calcium pantothenate/ nicotinamide/ l-lysine/ cyproheptadine/ calcium lactate/ selenium dioxide/ zinc sulphate/ copper sulphate,2
saxagliptin/ metformin hydrochloride,2
evening primrose,2
povidine iodine,2
dorzolamide hydrochloride,2
vitamin b1 (thiamine hcl)/ vitamin b2/ vitamin b6 / vitamin b12 (cyanocobalamin)/ nicotinamide (niacinamide)/ folic acid/ d-panthenol/ zinc as zinc sulphate/ l-lysine hcl/ ferric ammonium citrate/ calcium gluconate/ manganese sulphate,2
chlorhexidine gluconate/lidocaine hydrochloride monohydrate,2
dextromethorphan hydrochloride/diphenhydramine hydrochloride,2
liquid liquorice extract / squill tincture / menthol,2
amoxicillin trihydrate/ potassium clavulanate,2
cyproheptadine hydrochloride (anhydrous)/ vitamin a (as synthetic retinol concentrate powder form)/ cholecalciferol/ thiamine hydrochloride/ riboflavin/ calcium pantothenate/ cyanocobalamin/ ascorbic acid/ l-lysine hydrochloride/ calcium gluconate,2
zinc lactate,2
paracetamol/caffeine/ephedrine hcl,2
amoxicillin/ clavulante potassium,2
evening primrose oil/providing gamma-linolenic acid/vitamin e,2
conjugate vaccine adsorbed,2
vit a/vit d/vit e/omega-3,2
beractant,2
"diphenhydramine hcl bp, sodium citrate dihydrate bp, ammonium chloride bp, menthol bp",2
talazoparib tosylate,2
nirmatrelvir/ritonavir,2
verapamil hcl,2
paracetamol/ caffeine/ chlorpheniramine maleate,2
diclofenac diethylamine,2
vitamin a palmitate )/ergocalciferol(vitamin d2)/thiamine hydrochloride (vitamin b1) bp /riboflavin (vitamin b2)/pyridoxine hydrochloride (vitamin b6) /nicotinamide/ascorbic acid(vitamin c,2
vitamin a/ vitamin d /vitamin e /vitamin c /vitamin b1 /vitamin b2 /vitamin b3 /vitamin b6/folic acid/vitamin b12/biotin/pantothenic acid /magnesium /iron /zinc /copper /manganese /selenium /chromium /iodine /para-aminobenzoic acid /soya isoflavone extract,2
zinc/iodine/copper/manganese/selenium/chromium/cysteine/methionine/bioflavonoids,2
iron iii polymaltose eq. to elemental iron 2 mg/cyanocobalamin bp/folic acid bp,2
enrofloxacin/ colistin sulfate,2
oxytetracycline hydrochloride/neomycin sulphate/vitamin a/vitamin d3/vitamin e / vitamin k3/vitamin b1/vitamin b2/vitamin b12/biotin/calcium pantothenate,2
enrofloxacin/colistin sulphate,2
gluteraldehyde/coco-dimethyl benzyl ammonium chloride,2
labetalol hcl,2
"live attenuated newcastle disease virus lasota (we/ndv3), live attenuated infectious bronchitis virus classic h12o gi-1 (eg/ibv2)",2
vit a/vit d/vit e/epa/dha,2
tylosin,2
candesartan cilexetil/amlodipine besylate,2
phenytoin sodium,2
prednisoline acetate,2
fluorometholone/neomycin sulphate,2
diclofenac diethylamine/methyl salicylate/menthol/virgin linseed oil/ capsaicin gel,2
vaccinium macrocarpon,2
dalteparin sodium,2
sodium carbonate/ sodium phosphate,2
promitor 70-soluble fiber/iron pyrophosphate sunactive fe-p80lk micronized microencapsulated/l-ascorbic acid/vitamin d3/cyanocobalamin/folate-vitamin b9,2
l-tryptophan/ myo-inositol/ d-chiro-inositol/ vitamin b6/ l-arginine/ grape seed extract/ safed musli granules,2
oxaliplatin,2
glucosamine sulphate/potassium chloride/chondroitin sulfate,1
"marek’s disease vaccine, serotypes 1&3, live virus",1
(tagests erecta / dry flower/ zeaxanthin/ leutin/ alpha lipoic acid,1
glucosamine sulfate / potassium chloride / chondroitin sulfate,1
natural fish oil/nicotinamide/vitamin c/calcium/biotin/iron/zinc/magnesium/selenium/chromium/thiamine/riboflavin/pantothenic acid/pyridoxine/cyanocobalamin/vitamin d3/folic acid,1
diphenhydramine/sodium chloride/menthol,1
diphenhydramine/ammonium chloride/sodium citrate/menthol,1
dequalinum+cinchocaine hcl,1
methylphenidate hydrochloride,1
"inactivatedd newcastle disease(nd), avian vaccine",1
iron (iii) hydroxide polymaltose complex/ folic acid/ vitamin b12/ zinc,1
melatonin 5mg,1
n-acetyl cysteine,1
melalonin,1
s bacillus clausii spores,1
vitamin d/vitamin k/vitamin c/thiamine/riboflavin/niacin/vitamin b12/biotin/pantothenic acid/magnesium/iron/zinc/copper/selenium/iodine/natural mixed carotenoids/omega 3/dha/epa,1
vitamin a/vitamin c/vitamin d3/vitamin e/vitamin k1/vitamin b1/vitamin b2 /biotin/vitamin b5/calcium citrate/ferrous fumarate/sodium selenite/copper gluconate/glycine/chromium picolinate,1
szechwan lovage rhizome,1
bacial skullcap root,1
astragalus polysaccharides as glucose from astragalus membranaceus,1
glycyrrhizic acid,1
tylosin tartrate/ doxycycline hyclate/ bromhexine hydrochloride / vitamin a / vitamin b1 / vitamin b2 / vitamin b6 / vitamin b12 / vitamin c/ vitamin d3 / vitamin e /nicotinic acid,1
vitamin a/ vitamin d3/ vitamin e/ vitamin k3/ vitamin b6/ vitamin b12/ vitamin b1/ vitamin b2/ lysine hydrocholoride/ methionine/ niacinamide/ calcium pantothenate/ folic acid/ tryptophan/ l-threonine/ potassium chloride/ sodium sulphate,1
doxycycline hydrochloride/streptomycin sulphate/erythromycin/colistin sulphate/vitamin a/vitamin b1/vitamin b2/vitamin b6/vitamin b12/vitamin c/vitamin d3/vitamin e/nicotinamide,1
calcium/ vit d3,1
ibuprofen/paracetamol/caffeine(anhydrous),1
alprazolam,1
cetaroline fosamil,1
"respiratory syncytial virus vaccine [bivalent, recombinant]",1
amoxicillin / clavulanic,1
vitamin c/calcium/magnesium/vitamin b3/vitamin b5/vitamin b1/vitamin b2/pyridoxine/zinc/folic acid/biotin/vitamin b12/guarana seed extract/caffeine,1
vitamin c/vitamin a/vitamin d/thiamin/riboflavin,1
omega-3/vitamin a/vitamin d/vitamin c,1
irinotecan hydrochloride 40mg,1
cabergoline,1
caffeine+ibuprofen+paracetamol,1
iron zinc vitamins selenium & folic acid,1
chloramphenicol/dexamethasone,1
myo-inositol/vitamin /l-carnitine/folic acid/selenium,1
myo-inositol/alpha lactalbumin/d-chiro inositol/folic acid,1
vincristine sulphate,1
"meningococcal group; a,c,w-135 & y",1
diclofenac sodium+paracetamol+caffeine,1
hydroxypropyl methylcellulose/ benzalkonium chloride,1
each bar of soap contains trichlorocarbonilide,1
cyprorite capsules ( cyproheptadine hcl (anhydrous) bp/vitamin a (as palmitate) bp/vitamin d3 bp/thiamine hydrochloride bp/riboflavin bp/cyanocobalamin bp/niacinamide bp/calcium pantothenate bp/calcium lactate bp ),1
metronidazole usp / sodium chloride usp,1
atenolol/ hydrochlorothiazide,1
retinol(vitamin a palmitate )/ergocalciferol(vitamin d2)/thiamine hydrochloride (vitamin b1) bp /riboflavin (vitamin b2)/pyridoxine hydrochloride (vitamin b6) /nicotinamide/ascorbic acid(vitamin c),1
msm/grapes seed extract/coenzyme q10/l-methionine/l-cysteine/betacarotene/citrus bioflavonoids/vitamin d3/vitamin e/vitamin c/vitamin b1/vitamin b2/vitamin b3/vitamin b6/folic acid/vitamin b12/biotin/pantothenic acid/calcium/magnesium/iron/zinc/copper/manganese/selenium/chromium/iodine/biotin/omega 3 fish oil/dha (docosahexaenoic acid)/epa (eicosapentaenoic acid)/starflower oil/blackcurrant seed oil/omega-6 fatty acid/lutein ester/providing lutein/tomato extract/providing pure lycopene/coenzyme q10,1
calcium /vitamin d3,1
xylomethazoline hcl,1
acetyl salicylic acid bp/caffeine,1
vitamin c/zinc/elderberry extract,1
paracetamol/ ephedrine/ caffeine,1
aspirin/ pseudoephedrine hcl/ caffeine,1
vitamin c/ zinc 1000mg/ 10mg,1
alumina/ magnesia/ dimethicone,1
vitamin a/vitamin d/vitamin e/vitamin c/thiamine/riboflavin/vitamin b6/folic acid/vitamin b12/pantothenic acid/vitamink/betacarotene/iron/magnesium/zinc/iodine/copper/manganese/selenium/chromium/cysteine/methionine/bioflavonoids,1
vitamin d3/ calcium/ magnesium/ zinc,1
vitamin d3/vitamin e /vitamin k/ vitamin c/vitamin b1/vitamin b2/vitamin b3/vitamin b6/folic acid/vitamin b12 /biotin /pantothenic acid/magnesium/iron/zinc/copper/selenium/iodine/carotenoids,1
doxycycline hyclate,1
iron iii hydroxide plymaltose equ. to elemental iron /vitamin a bp/ vitamin d3 bp/ vitamin b1 bp/ vitamin b2 bp/ nictinamide bp,1
amino acid and vitamin,1
cetrizine,1
isoniazid,1
ascorbic acid/niacinamide/vitamin e acetate/calcium d-pantothenate/vitamin b6/vitamin b2/vitamin b1 mononitrate/vitamin a/folic acid/vitamin d3/vitamin b12/calcium/phosphorus/magnesium/zinc/manganese/copper/selenium/chromium,1
calcium aspartate/boron/magnesium/zinc/vitamin d3/l-methyl folate calcium,1
calcium orotate/ magnesium/ vitamin d3,1
calcium aspartate/calcium orotate/ soy isoflavones/magnesium/zinc/vitamin k2-7/vitamin d3/,1
ivermectin/praziquantel/pyrantel embonate/ oxantel embonate,1
sodium chloride+sodium gluconate+sodium acetate trihydrate+potassium chloride+magnesium chloride+magnesium chloride hoxahydrate,1
amino acids,1
vitamin d/ vitamin e/ vitamin c/ thiamin/ riboflavin/ niacin/ pyridoxine/ folacin/ vitamin b12/betacarotene/ vitamin k/magnesium/iodine/copper,1
guaifenesin bp/ bromhexine hydrochloride bp/ phenylephrine hydrochloride,1
soya bean oil,1
amlodipine/losartan potassium,1
ethanol,1
moxifloxacin hydrochloride/dexamethasone phosphate,1
natamycin,1
each caplet contains ibuprofen/ paracetamol,1
cetrorelix,1
ephredrae herba/ amygdalin/ calcium sulfate dihydrate/ glycyrrhizic acid/ sucrose/ benzoic acid/ ethylparaben,1
vitamin a/vitamin d3/vitamin e/vitamin k/vitamin b2/vitamin b6/vitamin b12/vitamin c/biotin/folic acid/niacin/citric acid/glutamic acid/proline/threonine,1
vitamin a/vitamin d3/vitamin e/vitamin k3/pantothenic acid/thiamine/ riboflavin/pyridoxine/vitamin b12/nicotinamide b3/choline chloride/methionine/lysine,1
montelukast sodium 10mg,1
albendazole/propylene glycol/purified water,1
sulfadamidine sodium+pyrimethamine hcl+tetracycline hcl+multivitamins,1
oxytetracycline sulphate/streptomycin sulphate/erythromycin thiocyanate/neomycin sulphate/colistin sulphate/vitamin a/vitamin d3/vitamin e/vitamin b1/vitamin b2/ vitamin k/ vitamin b6/ vitamin c/ vitamin b12/ nicotinic acid/ d-pantothenate/inositol,1
cerebroprotein hydrolysate/ phosphatidylserin/ methylcobalamine/ folic acid/ pyridoxine hydrochloride/ biotin/ zinc,1
vitamin a /vitamin d3 /vitamin e / vitamin b1 /vitamin b2 / vitamin b3 / vitamin b5 / vitamin b6 / vitamin b9 / vitamin b7 / vitamin b12 / vitamin c/ iron /zinc/l-lysine hydrochloride,1
vit d3/vit e/vit b1/vit b2/vit b3/vit b5/vit b6/vit b9/vit b7/vit b12/vit c/calcium/magnesium/phosphorus/iron/selenium/zinc,1
cyproheptadine / lysine hydrochloride / thiamine hydrochloride / pyridoxine hydrochloride / nicotinamide / dexpanthenol,1
diphenhydramine hydrochloride/ammonium chloride/sodium citrate,1
each tablet contains aluminium hydroxide,1
each tablet contains. sulfamethoxazole bp/ trimethoprim bp,1
cetrizine hydrchloride,1
diphenhydramine hydrochloride/sodium citrate,1
iron (iii) hydrochrloride polmaltose / folic acid,1
diclofenac diethylanate/methylsalicylate/menthol/capsicum oleoresin,1
thiamine nitrate /riboflavine pyridoxine hydrochloride /cyanocabalanun/folic acid /panthenol/iron(as ferric ammonium citrate bp/niacinamide /zinc(as zinc sulphate bp) copper (as copper sulphate bp/magnese(as magnese sulphate usp) lysine,1
iron(iii) polymaltose/ folic acid/vitamin b12,1
vit a pandurate/ vit d3/ vit b12/ thiamine/ riboflavin/ nicotinamide/ pyridoxine hcl/vit c/ d-pentothal usp/ folic acid/ d-biotin/zinc glucose,1
cyproheptadine hcl/thiamine/pyridoxine/cyanocobalamin/ascorbic acid,1
"vitamin c, d3, 3, b12 & trace minerals & ginger",1
citalopram hydrobromide,1
clear honey/glycerine/ squill oxymel,1
cyproheptadine hydrochloride equivalent to cyproheptadine hcl anhydrous bp/l-lysine/riboflavin,1
cyproheptadine hydrochloride(anhydrous)/l.lysine hydrochloride/thiamine hydrochloride/pyridoxine hydrochloride/riboflavin/nicotinamide/dexphanthenol/cyanocobalamin,1
cyanocobalamin/ copper/ d-panthenol/ folic acid/ iron (as ferric ammonium citrate)/ l-lysine hydrochloride/ niacinamide/ manganese/ pyridoxine hydrochloride/ riboflavin/ thiamine nitrate/ zinc,1
magnesium sulphate/citric acid anhydrous/sodium bi carbonate,1
myo-inositol/l-5-methyltetrahydrofolate,1
vitamin c/ echinacea/ zinc/ willow/ selenium,1
green tea extract/ l-carnitine acid/alpha lipoic acid/ betacarotene/vitamin e/vitamin c/vitamin b1/ vitamin b2/ vitamin b3/ vitamin b6/ vitamin 12/biotin/calcium d-pantothenate/manganese oxide/carbonyl iron/zinc/copper/manganese sulphate/selenium/chromium/leutin/co-enzyme q10/calcium citrate maleate/vitamin d/folic acid,1
citalopram,1
olanzapine usp,1
bendroflumethiazide,1
iron(iii) polymaltose/ folic acid/ pyridoxime hcl bp/ cyanocobalamine bp/ lysine hcl bp/ zinc sulpate,1
ezetimibe,1
montelukast sodium 5mg,1
omega 3 fatty acid epa/ dha/ calcium/ magnesium/vitamin c/ niacinamide/ iron/ zinc/ vit. e /vit. b6 /vit. b1/ vit. b2/ copper/ manganese/ vit. b12/ l methyl folate /iodine/ selenium/chromium/ biotin/ vit. a/ vit. d3 / vit. e,1
valsatan,1
d-mannose/ cranberry extract,1
paracetamol / phenylephrine hydrochloride / caffeine / diphenhydramine hydrochloride,1
menthol bp/ oil cajuput bpc/ oil clove bp/ tincture,1
purified honey/ glycerin/ ipecacuanha liquid extract/ terpeneless lemon oil,1
soluble liver extract/ soluble spleen extract/ soluble gastric mucosa extract/ whey protein,1
vitamin b10/vitamin b2/vitamin b12/vitanin b6/nicotinamide/magnessium oxide /magnesse sulphate /copper(as copper sulphate )/calcium d-pantothenate/ ferrous fumerate /zinc sulphate /folic acid,1
paracetamol /guaifenesin /pseudoephedrine hcl,1
"lycine,l-glutamine,l-cystine),selenium/corn fiber/vitamin c/mixed berries powder",1
camphor / menthol / methyl salicylate / eucalyptus globulus leaf oil / pinus pumilio oil,1
citric acid monohydrate/menthol,1
mycophenolic acid,1
"liraglutide, glucagon-like peptide",1
glucagen,1
norfloxacin+tinidazole,1
citalopram hydrobromide usp equivalent to citalopram,1
saccharomyces boulardii,1
mycophendic acid,1
calcium/phosphorus,1
vitamin c+zinc,1
vitamin c + zinc,1
methylcobalamin 1500mcg/ alpha lipoic acid 200mg/ chromium 200mcg/ folic acid 1.5mg/ inositol 100mg/ selenium 163.6mcg/ pyridoxine 3mg,1
ferrous ascorbate 100mg/ folic acid 15mg/ zinc 7.5mg,1
vitamin d3/vitamin c/ zinc,1
