chain,outlets,total_pop_served,mmda_count,regions,pop_per_outlet,avg_mmda_pop
SAMINA PHARMACY LTD,1,44958.5,1,1,44958.5,44958.5
MARTBIL PHARMACY,1,44958.5,1,1,44958.5,44958.5
BESTE WAHL PHARMACY,1,44958.5,1,1,44958.5,44958.5
THEO AND JUDE PHARMACY LTD,1,44958.5,1,1,44958.5,44958.5
AKOPHARMA PHARMACY LTD,1,43588.5,1,1,43588.5,43588.5
PRISBEN PHARMACY LTD.,1,43588.5,1,1,43588.5,43588.5
SOSAAB PHARMACY,1,42777.0,1,1,42777.0,42777.0
OSU PHARMA LTD,1,42777.0,1,1,42777.0,42777.0
BENJES PHARMACY,2,42577.94285714286,2,1,21288.97142857143,21288.97142857143
PARICA PHARMACY LTD,1,40227.333333333336,1,1,40227.333333333336,40227.333333333336
PRAK AND DAUGTHERS PHARMAC,1,40227.333333333336,1,1,40227.333333333336,40227.333333333336
AUBIN PHARMACY,1,40227.333333333336,1,1,40227.333333333336,40227.333333333336
CISANT PHARMACY,2,40073.42857142857,1,1,20036.714285714286,40073.42857142857
ICON PHARMACY LTD.,1,39850.0,1,1,39850.0,39850.0
ASM PHARMACY,1,39850.0,1,1,39850.0,39850.0
KUMO PHARMACY,1,39816.333333333336,1,1,39816.333333333336,39816.333333333336
TILADO PHARMACY,1,39816.333333333336,1,1,39816.333333333336,39816.333333333336
KOMBAT PHARMACY LTD,1,39816.333333333336,1,1,39816.333333333336,39816.333333333336
BENEDTA PHARMACY,1,39396.666666666664,1,1,39396.666666666664,39396.666666666664
MEBRONI PHARMACY LTD,1,39396.666666666664,1,1,39396.666666666664,39396.666666666664
ADAMS PHARMACY,2,38722.75,2,1,19361.375,19361.375
I'S AND J'S PHARMACY LTD,2,38567.125,1,1,19283.5625,38567.125
Unicom Chemist Limited,24,38394.63626170242,9,2,1599.7765109042675,4266.070695744714
WILMENS PHARMACY LIMITED,1,38268.0,1,1,38268.0,38268.0
Top-Up Pharmacy Limited,15,38266.11210387781,7,5,2551.0741402585204,5466.587443411116
RHODEL PHARMACY LTD,1,38174.666666666664,1,1,38174.666666666664,38174.666666666664
EUGENEX PHARMACY,2,38023.53333333333,2,1,19011.766666666666,19011.766666666666
27TH PHARMACY LTD,1,37128.0,1,1,37128.0,37128.0
PH PHARMACY LIMITED,1,37128.0,1,1,37128.0,37128.0
CHRISPHARMA LTD,2,36354.833333333336,2,1,18177.416666666668,18177.416666666668
PEPWAY PHARMACY,1,36101.5,1,1,36101.5,36101.5
ADEPHARMA LTD,2,35623.19047619047,2,2,17811.595238095237,17811.595238095237
ASOMAFO PHARMACY LIMITED,1,34441.75,1,1,34441.75,34441.75
ASOMAFO PHARMACY,1,34441.75,1,1,34441.75,34441.75
BN RX PHARMACY,1,34441.75,1,1,34441.75,34441.75
Panacea Pharmacy Limited,11,33447.14800786459,7,3,3040.649818896781,4778.164001123513
AMARPHARMA LTD.,2,32240.4,1,1,16120.2,32240.4
MEDCOURT PHARMACY LTD,6,32070.090141678917,5,2,5345.015023613153,6414.018028335783
UB PHARMA LTD,1,31949.333333333332,1,1,31949.333333333332,31949.333333333332
MARISCA PHARMACY LTD.,1,31949.333333333332,1,1,31949.333333333332,31949.333333333332
RASBORO PHARMACY LIMITED,1,31949.333333333332,1,1,31949.333333333332,31949.333333333332
MIKI-MED PHARMACY LTD.,1,31949.333333333332,1,1,31949.333333333332,31949.333333333332
DEKWART PHARMACY LTD,1,31949.333333333332,1,1,31949.333333333332,31949.333333333332
MODERN PHARMACY,1,31949.333333333332,1,1,31949.333333333332,31949.333333333332
FAMILY WISE PHARMACY,2,31783.399999999998,2,1,15891.699999999999,15891.699999999999
BENCYN PHARMACY,2,31757.77380952381,2,1,15878.886904761905,15878.886904761905
