client_clean,count
net - zero frozen coldstore,14
oa & j pharmaceuticals limited,14
menkish impex limited,14
"egyptian international pharmaceuticals industries co (eipico) egypt, 10th ramadan city industrial zone b.1",14
parmarts pharmacy,14
"suncity farms limited, ve deme",14
bristol foods,14
olam agri ghana limited,14
omer investment limited,14
vav fisheries ghana limited,14
double a. company limited,14
frost vault foods,14
hpw fresh & dry limited. off bawjiase,13
"hills pharmaceuticals limited, d470/4 additrom road, adabraka",13
kepro b.v,13
"unichem laboratories limited, unichem bharan prabhat estate s.v. road jogeshwan west mumbai",13
klamath company gh. limited,13
rolinet ventures,13
pristine foods,13
mmc pharmaceuticals limited,13
oaks pharma llc,13
"forever living products ghana limited, pmb ct",13
exphar s,13
royal dach pharmaceuticals,13
all pharma ghana limited,13
rebaj impex company limited,13
les laboratories servies (lls),13
sanofi aventis nigeria limited; japaul,13
"senes pharma company limited michel camp road, cam",13
cipla limited,13
livestock and agro business services.p.o.box co 1123,13
pfizer specialities ghana limited .c/o iqvia,13
macleods pharmaceuticals limited,13
santa glory enterprise,12
"kofikrom pharmacy limited - ssnit flats a1/4,dtd sakumono estates community 13,tema,ghana, select",12
fan milk plc,12
emb foods limited,12
nature's way brands,12
six stars pharmacy,12
beiersdorf ghana limited 5th floor grand oyeeman building south liberation link airport commercial area,12
"bell, sons & company (druggists) limited. - cheshire",12
forever living products,12
amhurst enterprise,12
trident lifeline private limited,12
trance logistics limited,12
valora exim limited,12
aspee pharmaceuticals box,12
big maron pharmacy limited,12
ob supply line agency,12
"gr industries limited - 15/5 valco road, heavy industries area",12
beda pharmaceuticals limited,12
bedita pharmacy limited,12
"g.h. afri frozen foods limited, east legon",12
yellow & orange pharmaceuticals,12
premium serums and vaccines private limited,12
amponsah effah pharmaceuticals limited,12
hebei new century pharma co.limited,11
hebei yuanzheng pharmaceuticals company limited,11
paapaa pharm limited,11
"jubaili agrotec - nkoransa off obuasird, near friend’s eye clinic, kumasi, ghana",11
asterisks lifesciences (gh) limited,11
beracah foods limited,11
korlyns pharmaceuticals (gh) limited,11
"kaphils enterprise., nkwanta",11
kemin industries bv industrial zone extension,11
umedica laboratories private limited,11
acadia industries limited,11
dutch farm int.b.v niew walden 112,11
lucky development limited,11
maurya confectionery limited,11
double a limited,11
hebei new century pharmaceutical co limited,11
k3 agri farms limited,11
saboc fayden limited,11
bodukwan multi fruit processing limited,11
sdg p mocent pharmacy,11
fnj investments limited,11
la bianca company limited,11
ernejoyson limited,11
worldwide healthcare limited,11
mirpuri inv. limited,11
astrazeneca uk limited silk road business park charter way macclesfield cheshire sk 10 2na united kingdom,11
panific limited,11
laprovet s.a.s,11
"bedita pharmaceuticals - h/no. c410/2 afram st., second road, behind trust towers, asylum down, accra, ghana",11
propharm chemist limited,11
aura pharmaceuticals private limited,11
imexco trading ventures limited. (previously imexco gh. limited),10
naadukof vent,10
vicarchie gh. limited,10
"meyer organics private limited, a",10
bd (west africa) limited,10
aj wholesale & distribution limited,10
urban marketplace limited,10
multipro private limited,10
tsonakle company limited,10
livestock & agro business services,10
london united exports limited,10
abyak pharma limited,10
boafowura limited. co,10
"kingdom books and stationery limited., osu",10
kems. wgh enterprise,10
til healthcare private limited,10
abimat frozen food,10
izo s.r.l,10
delma pharma limited,10
baoding sunlight heib medicament company limited,10
healthy haven,10
praiseville essentials,10
"bell, sons & company (druggists) limited",10
medexense biochem,10
perez frozen foods limited,10
isaac glavi trading enterprise,10
centurion laboratories private limited,10
sdg-p mocent pharmacy limited,10
incepta pharmaceuticals limited,10
"vitabiotics limited1 apsley waylondon, nw2 7hf",10
benyima farms limited,10
macleods pharmaceutical limited,9
novartis pharma ag,9
t.h pharmaceuticals limited,9
blowchem industries limited,9
zeiss pharmaceuticals private limited,9
"shalina healthcare dmcc - 30th floor alinas towers dubai uae , united arab emirates",9
fourrts india laboratories private limited,9
yabolivia enterprise,9
samkwarth pharmaceuticals,9
ajanta pharma limited ajanta,9
smayan healthcare private limited,9
may awurade adom vent,9
intervet sa (pty) limited,9
godswill gedd ventures,9
godylac healthy foods,9
"merck serono middle east fz limited - jebel ali no. lb09013 dubai, united arab emirates",9
forever living products ghana limited,9
laboratoire innotech international,9
medichem pharmaceuticals limited,9
"ti zaa din nani royal limited, gumani",9
vn commodities limited,9
astrazeneca scientific office (ghana),9
menzbek africa co limited,9
ambvet biotech co limited - 109-112 door,9
greenwich therapeutics limited; csc warehouse (c),9
multi -pac limited,9
hebei new century pharmaceutical company limited taihang street shijiazhuang city hebei province- china taihang street shijiazhuang city hebei province- china,9
organon south africa pty limited,9
frankabot pharmaceutical,9
imperial market access gh. limited,9
ice sea ghana limited,9
ashish life sciences private,9
strides shasun limited strides,9
"hetero labs limited; 7a, a2 hetero corporate, industrial estates sanath nagar, hydrabad 500018, telangana, india",9
msn laboratories private limited,9
cadila pharmaceuticals limited,9
b. foster bakery,9
hospitality and catering supplies limited,8
asaaba naturalsge-328-1083west legon,8
kama industries limited,8
dps gmbh limited - next to new kicc dominion spintex road,8
mvc pharmaceuticals limited,8
verve human care laboratories,8
"fairafric ghana limited, amanase near suhum, close to yayra glover ghana limited",8
star foods global investment limited,8
prisma pharma fze,8
ernejoyson company limited - yass,8
rabito clinic limited,8
"frozen shore, airport",8
"kasapreko co.limited., teshie-nungua",8
kent pharma limited,8
aristopharma limited,8
acino ag am windfield,8
dexvet ghana limited,8
mafricom ghana limited,8
"magdavis catering services, kaneshie",8
shalina healthcare dmcc,8
stallion laboratories private limited,8
rebeghan ventures,8
vielim royal limited,8
surmount laboratories private limited a,8
"bharat parenterals limited 144&146 jarod samlaya road, vill. haripura, ta. savli, dist. vadodara",8
ambica impex limited,8
joshmat foods,8
"trident life private limited 2001, 2nd floor, apmc krushi bazaar, falsawadi, ring road, surat, gujarat 395002, india",8
hay foods limited,8
vihilda com. limited,8
allon health & pharmacy limited,8
cave and gardens ghana limited,8
alivira animal health limited 301/a dosti pinnacle,8
f hoffman-la roeche limited grenzachestrasse,8
sandoz pharmaceuticals d d,8
vital pharmacy limited,8
care view pharmacy limited,8
aurobindo pharma limited,8
nature farms gh. limited,8
atnahs pharma uk limited. - sovereign,8
feedico company limited,8
b&o pharma zacdela masquere,8
jl bakery limited,8
sky bridge pharmaceuticals limited,8
jeddean company limited,8
dew foods,8
we,8
sika kroabea company limited,8
lavina pharmaceuticals private limited,8
intas pharmaceuticals corporate,8
charak pharma private limited,8
"bede ne bana limited company, half assini",8
afrizone market limited,8
phersons pharmacy limited,8
dimd ghana limited,8
emil pharmaceutical industries private limited,8
shescave enterprise,8
maurya foods limited,8
the b.b. harrington vent,8
delphi tech limited,8
"bayswater industries limited., keta",8
"""maridav gh limited pmb ka 144, airport-accra""",8
enso nyame ye cold store limited,8
maxgringo production,7
geo medicore limited,7
dh limited company,7
