client_clean,total_products,drug_products,food_products,countries_sourced,local_products,valid_products,import_pct,drug_pct
"Boehringer Ingelheim International Gmbh - Binger Strasse 173 55216 Ingelheim Am Rhein, Germany",27,27,0,3,0,27,100.0,100.0
"Al-Jabarout Limited., Accra",27,0,25,6,0,27,100.0,0.0
Six Stars Pharmacy Limited,27,27,0,2,0,27,100.0,100.0
"Thakkar Overseas Limited., Accra",27,0,24,10,0,26,100.0,0.0
Krka D.D Šmarješka Cesta,26,25,0,2,0,24,100.0,96.2
"Kwasi Addae Abebrese Ent., Accra",26,0,25,9,0,18,100.0,0.0
Olive Tree Pantry,26,0,26,4,0,26,100.0,0.0
"Don Emilio Limited., Accra",25,0,25,9,0,22,100.0,0.0
"At Ghana Limited, Accra, Ga/R",25,0,25,4,0,24,100.0,0.0
Aura Lifecare Pvt Limited,25,25,0,1,0,22,100.0,100.0
"Tobinco Pharmaceuticals Limited - P. O. Box Gp 13808, Accra-North",25,24,0,1,0,25,100.0,96.0
Shalina Healthcare,25,25,0,2,1,24,96.0,100.0
"Herbalife Ghana Limited No. 12 Una Homes, Airport City, Airport Bp, Gl",25,25,0,2,0,25,100.0,100.0
"London United Export Limited, Luex House",25,25,0,2,0,24,100.0,100.0
"Forewin Gh. Limited., Accra",25,0,20,6,0,17,100.0,0.0
Widama Pharmacy Co. Limited,24,24,0,1,0,24,100.0,100.0
Lymens Medical Supplies Limited,24,24,0,2,2,21,91.7,100.0
Jubaili Agrotec Limited,24,24,0,1,0,21,100.0,100.0
Mokat Chemists Limited P. O. Box Ct,24,0,0,1,0,24,100.0,0.0
"Three Hills Gh. Limited., Accra",24,0,23,6,0,20,100.0,0.0
"Interbrands Gh. Limited., Accra",24,0,23,11,0,24,100.0,0.0
Socomed Pharma Limited No 3 Maruti Paradise Plot No 93-95 Sector -15 Cbd Belapur Navi Mumbai 400614 India,24,24,0,1,0,15,100.0,100.0
"Denk Pharma Gmbh & Co Kg - Prinzregenten Str 79 81675 Munchen, Germany",24,24,0,3,0,24,100.0,100.0
Knad Services Limited,23,0,23,2,0,23,100.0,0.0
Knvm Medicare Private Limited,23,23,0,4,2,14,91.3,100.0
Kofikrom Pharmaceuticals Limited Ssnit Flats A1/4 Dtd Sakumono Estate Comm 13,23,23,0,3,2,20,91.3,100.0
"Plb Global Foods & Beverages Limited., Accra",23,0,22,8,0,23,100.0,0.0
M & G Pharmaceuticals Limited,23,23,0,2,12,23,47.8,100.0
"Forewin Ghana Limited, Accra",23,0,21,12,1,23,95.7,0.0
Rokmer Pharma Limited,23,23,0,1,0,20,100.0,100.0
Freds Bill Limited,23,23,0,1,0,23,100.0,100.0
Adom Mbroso Coldstores Limited,22,0,18,14,0,22,100.0,0.0
Aether Centre,22,22,0,1,0,22,100.0,100.0
"Raju Gh. Limited., Accra",22,0,22,8,1,20,95.5,0.0
