client_clean,total_products,drug_products,food_products,countries_sourced,local_products,valid_products,import_pct,drug_pct
"Sanofi Winthrop Industrie. 180 Rue Jeans 94700, Maison-Alfort, France",3,3,0,1,0,3,100.0,100.0
"Sanpasture Ghana Limited., Accra",3,0,3,1,3,3,0.0,0.0
"Ladylogo Ent.,Accra",3,0,3,1,0,3,100.0,0.0
"Landover Farms Limited, Airport-Accra",3,0,3,1,3,3,0.0,0.0
Girlfarmshub,3,0,3,1,3,3,0.0,0.0
"Dernogo Ent., Accra",3,0,3,1,0,3,100.0,0.0
Ohene Djan Enterprise,3,3,0,1,3,3,0.0,100.0
"Ocm Industries Limited, Gomoa Aboansa, C/R",3,0,3,1,3,3,0.0,0.0
"Obstev Sto Limited., Accra",3,0,2,1,0,3,100.0,0.0
"Ocean Friendly Limited. Accra, G/R",3,0,3,3,0,3,100.0,0.0
Mega Lifescience Pty Limited,3,3,0,1,0,0,100.0,100.0
Exxcell Pharma Limited,3,3,0,1,0,3,100.0,100.0
"Bedibenah Foods & Beverages, Accra",3,0,3,1,3,3,0.0,0.0
"Sgr Food Import & Export Limited, Tema",3,0,1,2,0,3,100.0,0.0
Shea Soul Enterprise,3,0,0,0,0,0,100.0,0.0
"Senes Pharma Co. Limited. - Michel Camp Road, Comm 21/22, Juno, Tema, Ghana",3,3,0,1,0,3,100.0,100.0
"Septemberzgrill10, Accra",3,0,3,1,3,3,0.0,0.0
"Sbc Beverages Gh. Limited., Accra",3,0,3,1,3,3,0.0,0.0
"Kunetco Ent., Sunyani, B/A",3,0,3,1,0,3,100.0,0.0
"Kwahu Root And Fruit Processing Co. Limited., Nkawkaw - E/R",3,0,0,1,3,3,0.0,0.0
Glumex Pharmaceutical Mfg Private Limited,3,3,0,1,0,3,100.0,100.0
Gland Pharma Limited Survey,3,3,0,1,0,3,100.0,100.0
"O.K.D Organic Products Limited., Accra",3,0,3,1,3,3,0.0,0.0
"Nuriche, Accra",3,0,3,1,3,3,0.0,0.0
"Nusetor Foods Limited, Accra G/R",3,0,3,3,0,3,100.0,0.0
"Barrels And Beverages Ent., Accra",3,0,3,1,0,3,100.0,0.0
Glaxosmithkline Consumer Nigeria Plc Rc 8726 1 Industrial Avenue Llupeju Lagos Nigeria,3,3,0,1,0,1,100.0,100.0
"Glaxosmithkline Export Limited., Accra",3,3,0,2,0,3,100.0,100.0
Kwame Duodu Ofori Enterprise,3,0,2,2,0,3,100.0,0.0
Kwick Pharma Limited P O Box Bt,3,3,0,0,0,3,100.0,100.0
Baxter Pharmaceuticals India Private Limited,3,3,0,1,0,3,100.0,100.0
Bayer Schering Pharma Africa Gmbh 30321 Nairobi D0100 Kenya,3,3,0,2,0,3,100.0,100.0
"Sl Impex Limited. Co., Accra",3,0,3,1,0,3,100.0,0.0
"Ladybird Enterprise, Accra G/R",3,0,3,2,0,3,100.0,0.0
Spring Agro Industries Limited,3,0,3,3,1,3,66.7,0.0
"Spring-Forth Foods, Accra",3,0,3,0,0,0,100.0,0.0
Springate Investments,3,0,3,1,0,3,100.0,0.0
Knvm Medicare Private Limited Kh No 959 Udyog Kunj Ghaziabad,3,3,0,0,0,3,100.0,100.0
Medivet Co. Limited,3,2,1,2,0,3,100.0,66.7
"Nutrivine Hub, Accra, Ga/R",3,0,3,1,3,3,0.0,0.0
"Deva Holdings A.S Halkali Merkez Mahallyi, Basm Ekpres Caddeyi",3,3,0,1,0,3,100.0,100.0
"Specialty Beers Gh. Limited., Nsawam Adoagyiri. E/R",3,0,3,1,3,3,0.0,0.0
"Ayisi De Mundi Ent., Accra",3,0,2,1,3,3,0.0,0.0
"Sonite Gh. Limited., Accra",3,0,3,3,0,3,100.0,0.0
"Azelis Chemicals Ghana Limited, Accra",3,0,3,3,0,3,100.0,0.0
"Society For Family Health Internatioal Ghana, 4Th Floor Gulf House, Gulf Street Tetteh Quarshie Accra",3,3,0,1,0,3,100.0,100.0
B.C Benyn Pharmacy Limited,3,3,0,1,1,3,66.7,100.0
"B2 Barika Ent., Accra, Ga/R",3,0,2,2,2,3,33.3,0.0
"Bak Foods & Beverages Ent., Kwabeng, E/R",3,0,3,2,0,3,100.0,0.0
"Skm Pharma Pvt Limited Tf-10 Point Infantry Road Bangalore 560001, India",3,3,0,1,0,3,100.0,100.0
"Keylink Global Exim Private Limited - P.No. 150/1, 3Rd Floor, Shipra Path",3,3,0,1,0,3,100.0,100.0
Keystone Gbs Company Limited,3,0,2,3,0,3,100.0,0.0
Success Lane Company Limited,3,0,3,1,0,3,100.0,0.0
"Ashmate Ent., Accra",3,0,3,1,3,3,0.0,0.0
Ashmo Enterprise. Accra,3,0,3,1,0,3,100.0,0.0
Novo Nordiska/S 3Rd Floor Avenue 5 Rose Avenue Off Lenana Road Killmani,3,3,0,0,0,2,100.0,100.0
Nu Chico Trading Enterprise,3,0,1,2,0,3,100.0,0.0
"Expert Trade Ent., Accra",3,0,3,2,0,3,100.0,0.0
"Strides Pharma Science Limited - Strides House Opp Iimb Bilekahalli 560 076 Bannerghatta Road Bangalore Karnataka India , India",3,3,0,1,0,3,100.0,100.0
"Kinapharma Limited - B920/10 Mausoleum Lane, North Industrial Area, North Kaneshie, Accra",3,3,0,1,3,3,0.0,100.0
Strides Pharma Science Limited Strides House Opp Iimb Bilekahalli 560 076 Bannerghatta Road Bangalore Karnataka India,3,3,0,0,0,3,100.0,100.0
Atlantic Lifesciences Limited - Plot No,3,3,0,1,3,3,0.0,100.0
Starlife Science,3,3,0,1,0,3,100.0,100.0
Starlink Logistics Com. Limited. Accra G/A,3,1,2,2,1,3,66.7,33.3
"Golden Sail Logistics Limited., Accra",3,0,3,2,0,3,100.0,0.0
Sta Service Team Limited,3,0,0,0,0,0,100.0,0.0
"Greenline Juice And Smoothies Limited., Accra",3,0,3,0,0,0,100.0,0.0
Greenwich Therapeutics Limited - Csc Warehouse C No 38 Dadeban Road North Industrial Area Accra,3,3,0,1,0,3,100.0,100.0
"Mega Lifesciences Public Company Limited No. 120, Moo 11, Ample Tower, 9Th-10Th Floor, Bangna-Trad Road, Bangna Bangkok 10260 Thailand",3,3,0,1,0,3,100.0,100.0
"Novo Nordisk Kenya Limited. 7Th Floor, The Convex On Rwerside Lane",3,3,0,1,0,3,100.0,100.0
"Dinnerss Restaurant., Aflao, V/R",3,0,3,1,3,3,0.0,0.0
"Divine Organic Hub, Accra",3,0,3,2,1,3,66.7,0.0
"T.T Brothers Limited., Tema",3,0,3,1,0,3,100.0,0.0
"Granny Pastries Ent., Accra",3,0,3,1,3,3,0.0,0.0
"Gredee Ent., Kumasi, A/R",3,0,3,1,0,3,100.0,0.0
"Kb & Ayeyi Ent., Accra",3,0,3,1,3,3,0.0,0.0
Kej-Mends Craftycakes Services,3,0,2,1,3,3,0.0,0.0
Swiss Parenterals Limited,3,3,0,1,0,2,100.0,100.0
"Sunella Hygienic And Business Ent., Kasoa - Winneba Rd., C/R",3,0,3,1,3,3,0.0,0.0
Sunlife Produktions-Und Vertriebsgsesellschaft Mbh Schierbusch,3,3,0,0,0,3,100.0,100.0
"Sunset Food Processing., Accra",3,0,3,2,2,3,33.3,0.0
"Super Drop Co. Limited., Accra",3,0,3,1,0,3,100.0,0.0
Aptamer Pharma Pvt Limited,3,3,0,1,0,0,100.0,100.0
"Anoah'S Bakery, Nsukwao- Koforidua",3,0,3,1,3,3,0.0,0.0
"Tas Prime Limited., Accra",3,0,3,1,0,3,100.0,0.0
"Tav Veterinaria Sl Diagnonal 6 S Mart Barcelona, Spain",3,3,0,0,0,3,100.0,100.0
"Taytron Enterpprise, Kumasi, A/R",3,0,3,2,0,3,100.0,0.0
"Tc Waakye Joint Limited, Accra",3,0,3,1,3,3,0.0,0.0
"Nkab 37 Plus, Accra",3,0,0,2,0,3,100.0,0.0
"Mega Lifesciences Ghana Limited 8 Dzorwulu Crescent, Dzorwulu, Accra, Ghana",3,3,0,0,0,3,100.0,100.0
"Arasa Inv. Limited., Tema",3,0,3,1,0,3,100.0,0.0
Ara’S Natural Enterprise - Sabonhda Pagsara Road,3,3,0,1,0,3,100.0,100.0
Ara’S Natural Enterprise Sabonhda Pagsara Road Tamale,3,3,0,0,0,3,100.0,100.0
Argobra Ventures,3,0,0,2,0,3,100.0,0.0
Kenheal Healthcare Private Limited,3,3,0,1,0,3,100.0,100.0
"Green Lion Co. Limited., Accra",3,0,3,1,0,1,100.0,0.0
"Green Lion Co. Limited., Tema",3,0,3,2,0,3,100.0,0.0
"Green-9 Company Limited, East Legon, Ghana",3,0,3,2,0,3,100.0,0.0
"Gskya Global Limited., Accra, Ga/R",3,0,3,0,0,0,100.0,0.0
Guilin Pharmaceutical Co Limited No 43 Qilidian Road Guilin 541004 China,3,3,0,1,0,3,100.0,100.0
Esapharma S.R.L,3,3,0,1,0,3,100.0,100.0
"Mepoat Trading Agency Limited., Accra",3,0,3,2,0,3,100.0,0.0
"Merck Serono Limited - 5 New Square Bedfont Lakes Business Park, Feltham, United Kingdom",3,3,0,2,0,3,100.0,100.0
Merck Serono S.P.A Via Delle Magnolie,3,3,0,0,0,3,100.0,100.0
"Nkwa Indigenous Foods Limited., Asuoyaa-Koforidua. E/R",3,0,3,1,3,3,0.0,0.0
"Drushba Veterinary Suppliers Limited., Accra",3,3,0,0,0,3,100.0,100.0
North South Seafood Limited,3,0,3,3,0,3,100.0,0.0
"Theon Pharmaceuticals Limited. - Village: Saini Majra, Teh: Nalagarh, Dist.: Solan-174101",3,3,0,1,0,3,100.0,100.0
The Head Of Regulatory Affairs Vitabiotics Limited 1 Apsley Way London,3,3,0,0,0,3,100.0,100.0
"Tessyesi Ent., Accra",3,0,3,1,3,3,0.0,0.0
"Tianjin Zhongsheng Glory Technology Co Limited - No 16 Huiyuan Road Zhangjiawo Industry Zone Ziqing District Tianjin , China",3,3,0,1,0,3,100.0,100.0
Kasapreko,3,0,3,1,3,3,0.0,0.0
Teva Pharmaceutical Industries Limited,3,3,0,1,0,3,100.0,100.0
"Thakkar Investments, Accra",3,0,3,2,0,3,100.0,0.0
"Gyarko Farms And Foods Limited., Accra",3,0,3,1,3,3,0.0,0.0
Kafnam Company Limited,3,3,0,0,0,3,100.0,100.0
"Neu Ice Enterprise, Accra, G/R",3,0,3,3,0,3,100.0,0.0
Neuron Pharma Pvt Limited,3,3,0,1,0,3,100.0,100.0
"New Global Pharmaceutical Limited - Plot No.1, Light Industrial Area. Accra",3,3,0,1,2,3,33.3,100.0
"New Health Supplies Limited Unit 5 Archdale Business Centre Brember Road Harrow Ha28D7, United Kingdom",3,3,0,1,0,3,100.0,100.0
New Jovakus Ventures,3,0,3,1,0,3,100.0,0.0
Dzifake Ventures,3,0,3,3,0,3,100.0,0.0
Ampscoe Medical And Pharmaceuticals Limited,3,3,0,1,3,3,0.0,100.0
Amuzu Herbal Clinic,3,3,0,1,3,3,0.0,100.0
Anchor Brands Limited 19 Freeland Park Lytchett Matravers Poole Dorset Bh16 6Fh United Kingdom,3,3,0,0,0,3,100.0,100.0
Andyfaith Pharmacy,3,3,0,0,0,3,100.0,100.0
Thornton & Ross Limitedlinthwaite Huddersfieldhd7 5Qhunited Kingdom,3,3,0,1,0,2,100.0,100.0
"Ann Egyir Ventures., Accra",3,0,3,2,0,3,100.0,0.0
Kakela Perish Limited,3,0,3,2,0,3,100.0,0.0
"Group One Commodities Limited., Tema",3,0,3,2,0,3,100.0,0.0
Alivira Animal Health Limited 301/A Dosti Pinnacle Plot No E7 Road No 22 Waggle Industrial Area India,3,3,0,0,0,3,100.0,100.0
Et Frozen Foods Ventures,3,0,3,2,0,3,100.0,0.0
"Etc Agro Ghana Limited.,Accra G/A",3,0,3,1,0,3,100.0,0.0
"All Smoked Limited., Accra",3,0,3,1,3,3,0.0,0.0
"Allie'S Foods Limited., Accra",3,0,3,1,3,3,0.0,0.0
"Jtn Logistics Limited, C/R",3,0,3,2,2,3,33.3,0.0
"Hammyhammy Catering And Decor, Accra",3,0,3,1,3,0,0.0,0.0
"Amajuka Farms, Community One, Tema",3,0,3,1,3,3,0.0,0.0
"True Factory Limited, Nsawam Aduagyiri, E/R",3,0,3,1,3,3,0.0,0.0
"True Oak Ent., Kumasi, A/R",3,0,3,2,0,3,100.0,0.0
K-Mart Groceries And Baby Products,3,0,3,1,0,3,100.0,0.0
"Amasaid Ent., Wa, U/W",3,0,1,1,3,3,0.0,0.0
"Amegh Pharma Private Limited. 602, Jai Krishna Complex",3,3,0,1,0,2,100.0,100.0
Amen Scientific Herbal Clinic,3,3,0,1,3,3,0.0,100.0
Total Family Health Organisation,3,3,0,1,1,3,66.7,100.0
"Kama Industries Limited., Accra",3,3,0,1,1,3,66.7,100.0
Health Site Ghana Limited,3,3,0,1,0,3,100.0,100.0
"Healthy Concepts, Accra",3,0,3,1,3,3,0.0,0.0
"Jocovet Limited. Co., Accra",3,0,3,1,0,3,100.0,0.0
Unosource Pharma,3,3,0,1,0,3,100.0,100.0
"Akomar Ghana Limited., Accra",3,0,3,1,0,0,100.0,0.0
"Akusungil Ent., Bolgatanga, Ue/R",3,0,2,3,0,3,100.0,0.0
Umedica Laboratories Private Limited Plot No 221 Gidc Vapi 396 195 Dist Valsad Gujarat State India,3,3,0,0,0,3,100.0,100.0
Umedica Laboratories Pvt Limited,3,2,0,1,0,3,100.0,66.7
"Edceyonline., Accra",3,0,3,1,0,3,100.0,0.0
"Naple Betta Farms Limited Company, New Dormaa, Sunyani, Bono Region",3,0,3,1,3,3,0.0,0.0
Nappytalia Sowah Kwade Street 36 Trade Fair East Labadi,3,0,0,0,0,0,100.0,0.0
Johnson & Johnson Middle East Fz Llc 3Rd Floor Nester Square Airport City Accra,3,3,0,2,0,2,100.0,100.0
"Jolee Foods, P. O. Box Sk 755 Sakumono Estate, Comm 20 Lashibi",3,0,3,2,0,3,100.0,0.0
"Aladdin Bakery & Snack Bar, Accra",3,0,3,1,3,3,0.0,0.0
"Julienica Co. Limited., Accra",3,0,3,2,0,3,100.0,0.0
Alexiss Ny Enterprise,3,0,1,2,0,2,100.0,0.0
"Helluva Bite, Accra",3,0,3,1,3,3,0.0,0.0
Henrima Catering Service,3,0,3,1,3,3,0.0,0.0
"Jannika Food Processing, A/R",3,0,3,1,3,3,0.0,0.0
Equitas Solutions,3,3,0,1,0,3,100.0,100.0
"Miss-Cookie Limited., Accra",3,0,3,1,3,3,0.0,0.0
"Eat Smart Foods, Accra",3,0,3,1,3,3,0.0,0.0
"Nannes Nhyira Ventures, Teshie Nungua Estate, Accra",3,0,3,2,0,3,100.0,0.0
Ebci Naturals,3,0,3,1,3,3,0.0,0.0
"Agyeman Badu Co. Limited., Kumasi, A/R",3,0,0,2,0,3,100.0,0.0
Vega Biotics,3,3,0,1,0,3,100.0,100.0
Vegagen Uk Limited - The Litton Suite Sheepbridge Business Centre,3,3,0,1,0,3,100.0,100.0
Vegagen Uk Limited The Litton Suite Sheepbridge Business Centre Chesterfield S41 9Ed United Kingdom,3,3,0,0,0,3,100.0,100.0
"Up Juice., Accra",3,0,3,1,3,3,0.0,0.0
"Ag Rose Co. Limited, Woarakose-A/R",3,0,3,1,3,3,0.0,0.0
"Unique A4 Africa Limited., Tema G/R",3,0,3,3,0,3,100.0,0.0
Hebei New Century Pharmaceutical Co Limited No 189 Taihang Street Shijiazhuang City Hebei Province China,3,3,0,1,0,3,100.0,100.0
Japko Investment Limitedkasoa Krispol Citycx,3,0,0,0,0,0,100.0,0.0
Jayden Trading Ventures,3,0,3,2,0,3,100.0,0.0
"Hg Hendy Farms Limited., Accra",3,0,2,1,3,3,0.0,0.0
Hills Pharmaceuticals Limited. Accra,3,2,0,2,0,3,100.0,66.7
"Jachin Foods Industries Limited, Accra",3,0,3,3,0,3,100.0,0.0
Najwad Business Ent,3,0,3,1,3,3,0.0,0.0
"Eg Apps Limited., Accra",3,0,3,1,3,3,0.0,0.0
"Ejonda Ent., Accra",3,0,3,1,0,3,100.0,0.0
Vita Luxe,3,3,0,1,0,3,100.0,100.0
"Vieva Bee Ent., Accra G/A",3,0,3,1,3,3,0.0,0.0
"Agbalenyo-Free Ent., Mafi Kumase, V/R",3,0,3,1,3,3,0.0,0.0
"Ago Aheley Foods, Accra",3,0,3,0,0,0,100.0,0.0
"Agro Africa Limited. P. O. Box Lg Dtd 14. No.3 Boulevard St, West Legon. Behind Forestry Commission",3,0,3,1,0,3,100.0,0.0
"Verano Limited., Kanda Accra",3,0,3,1,0,3,100.0,0.0
Vetabelle Mega Kokomlemle Accra Accra,3,3,0,0,0,3,100.0,100.0
Vetshop Ventures Limited,3,2,0,1,0,3,100.0,66.7
"Vmd N.V. - Hoge Maux 900 2370 Arendonk , Belgium",3,3,0,1,0,3,100.0,100.0
"Hords Limited., Accra",3,0,3,1,3,3,0.0,0.0
"Hospira Australia Pty - 1-39 Lexia Place Mulgrave, Victoria 3170, Australia, Australia",3,3,0,1,0,3,100.0,100.0
"Mvc Pharmaceuticals - Shop No. 1 Ground Floor Parasmani Apt Daheli Bhilad Tal-Umergam Dist Valsad 396105 Gujarat, India",3,3,0,1,0,3,100.0,100.0
Mvc Pharmaceuticals Limited 145B Paresh Complex Kasher Bhiwandi 421302 Mahastra India,3,3,0,0,0,3,100.0,100.0
Msn Laboratories Private Limited Msn House Plot No C 24 Industrial Estate Sanath Nagar Hyderabad 500 018 India,3,3,0,1,0,3,100.0,100.0
"Hernas Ent., Kumasi, A/R",3,0,3,1,0,3,100.0,0.0
"Itw Health Uk Limited - 128 City Road London Ecv1V 2Nx , United Kingdom",3,3,0,1,0,3,100.0,100.0
"Izo S.R.L.A Socio Unico S.S. 234 Per Cremona Km 28, 2-27013, Chignolo Po",3,3,0,1,0,3,100.0,100.0
"Jaljaden Ent,A/R",3,0,3,1,3,3,0.0,0.0
"Aduro Ye Herbal Centre., Obuasi, A/R",3,0,2,2,2,2,33.3,0.0
Vitacura Pharmaceuticals Plot No.235 2Nd Floor 3Rd Crosss Street Lakshmi Nagar Extension Posur Chennai 600 116 India,3,3,0,0,0,3,100.0,100.0
Virchow Healthcare Private Limited,3,3,0,1,0,3,100.0,100.0
"Hipark Ghana Limited., Accra",3,0,3,0,0,0,100.0,0.0
Afford Trading And Distribution,3,0,3,2,0,3,100.0,0.0
"Vigor Bioscience Ghana Limited - Kokomlemle,Accra,Nuumo Yaorte St.Ga-070-7995",3,3,0,1,0,3,100.0,100.0
Coldstore Hub,3,0,3,3,0,3,100.0,0.0
Zifam Pinnacle Pty Limited 24 Long Street Smithfield Nsw 2164 Australia,3,3,0,0,0,3,100.0,100.0
Msn Laboratories Private Limited,3,3,0,1,0,3,100.0,100.0
Emcure Pharmaceuticals Limited T 184 Midc Bhosari Pune 411026 India,3,3,0,0,0,3,100.0,100.0
"Morinston Vent., Accra, Ga/R",3,0,3,1,0,3,100.0,0.0
A. Menarini Manufacturing Logistics And Services,3,3,0,0,0,3,100.0,100.0
"Yakings Ent., Kumasi, A/R",3,0,3,1,3,3,0.0,0.0
Yakubu Abdallah 90 Enterprise,3,0,0,0,0,0,100.0,0.0
"Yozt Limited, Accra",3,0,3,1,3,3,0.0,0.0
72Nd Pharmacy Limited - 72 Nmai Dzorn Road Ashale Botwe Accra,3,3,0,2,0,3,100.0,100.0
"Wise 2 Supplies & Trading Limited, Tema",3,0,3,1,0,3,100.0,0.0
"Win-Medicare Private Limited - 1311, Modi Tower",3,3,0,1,0,3,100.0,100.0
Intravenous Infusion Limited,3,3,0,1,2,3,33.3,100.0
Winner Pharmaceuticals,3,3,0,1,0,3,100.0,100.0
Abm-Al Qibla Limited,3,0,1,1,0,3,100.0,0.0
"Western Beverages Limited, Accra",3,0,3,2,0,3,100.0,0.0
"Prime Dominion Foods Limited., Accra",3,0,3,3,0,3,100.0,0.0
Cilag Ag Hochstrasse 201 8200 Schaffhusen Switzerland,3,3,0,1,0,0,100.0,100.0
"Perfect Personal Care Limited., Accra",3,0,3,2,1,3,66.7,0.0
Ferrer International S A Gran Via Carlos Iii,3,3,0,1,0,3,100.0,100.0
Masters Pharmaceuticals Limited P O Box Up 971 Knust Kumasi,3,3,0,0,0,3,100.0,100.0
"Mawnette, Accra",3,0,3,1,2,2,33.3,0.0
Porter Pharmaceutical Limited,3,3,0,0,0,3,100.0,100.0
"Post Genexix International Limited., Accra",3,0,3,1,3,3,0.0,0.0
"Foremost Integrated Enterprise Limited. Teshie, Accra",3,0,3,3,0,3,100.0,0.0
"Mabson Enterprise, Accra",3,0,0,1,3,3,0.0,0.0
"Florico Processing Ent., Accra",3,0,3,1,3,3,0.0,0.0
Flourishzone Trading Ent. Accra,3,0,3,1,0,3,100.0,0.0
"Cocoa Processing Co. Limited., Tema",3,0,3,1,3,3,0.0,0.0
Pink Lemon Organics,3,0,3,1,3,3,0.0,0.0
Mapan Medical Supplies,3,0,0,1,0,3,100.0,0.0
"Coldfusion Foods & Beverages., Accra",3,0,3,1,3,3,0.0,0.0
"""Indus Life Sciences Private Limited - No 24 1 Subramanian Street 600 018 Abhiramapuram Chennai Tamil Nadu India , India""",2,2,0,1,0,2,100.0,100.0
Zanza Specials International Limited - Unit,2,2,0,1,0,2,100.0,100.0
"Y.A 17 Enterprise. H/No. Nyt/038 Near Berekum Cemetry, Nyame Tease. Berekum Bono Region",2,0,2,1,2,2,0.0,0.0
A-Simtina Enterprise C/O Holy Cross Parish Church,2,0,2,1,2,2,0.0,0.0
A-Sarps Pharmacy & Cosmetics Limited 3 Kojo Soro Street Near Palace Mall Spintex East Airport Accra,2,2,0,0,0,2,100.0,100.0
Yiba Fresh Catering Services,2,0,2,1,2,2,0.0,0.0
Imaginario Company Limited,2,0,2,2,0,2,100.0,0.0
"Infant Prodigy Ventures., Kumasi, A/R",2,0,2,1,0,2,100.0,0.0
"Invess Agriculture Limited., Accra",2,0,2,2,0,2,100.0,0.0
Intravenous Infusions Plc,2,2,0,1,2,2,0.0,100.0
"Intervet International Bv Wim De Korverstrait 35 5831 An Boxneer, The Netherlands",2,2,0,1,0,2,100.0,100.0
International Health Care Limited,2,2,0,0,0,2,100.0,100.0
"Wow Mineral Ice, Accra",2,0,2,1,2,2,0.0,0.0
"Wosmig Limited Com., Accra",2,0,2,1,2,2,0.0,0.0
"Woodie'S Tissues And Trade Hub, Accra",2,0,2,1,2,2,0.0,0.0
"Abak Co. Limited., Accra",2,0,2,2,0,2,100.0,0.0
"Ab'S Beekeepers Honey. Plot 95/H Gnat Village Baakoniaba, Sunyani Bono Region",2,0,2,1,2,2,0.0,0.0
"Abok Spices, Cape Coast, C/R",2,0,2,1,0,1,100.0,0.0
"Eemaninc, Accra",2,0,0,1,2,2,0.0,0.0
Edzieba Pharmacy Limited - P. O. Box 36 Effiduase Asokore. Ashanti Region,2,2,0,1,2,2,0.0,100.0
Nadeska Venturesga-393-494426 Yaboi Apiakai Streetabeka Lapaz,2,0,0,0,0,0,100.0,0.0
"Nabanco Vent., Accra",2,0,2,1,2,2,0.0,0.0
"Minakwess Limited. Accra, G/R",2,0,2,2,0,2,100.0,0.0
"Monarch Organic Farm, Ho, V/R",2,0,2,1,2,2,0.0,0.0
"Moli Perkins Limited, Bepong - Kwahu , E/R. Block No. 5/10, School Complex",2,0,2,1,2,2,0.0,0.0
Mobius Healthcare Limited,2,2,0,1,0,2,100.0,100.0
"Emyaad Group Limited., Kasoa, C/R",2,0,2,1,2,2,0.0,0.0
"Empire Bd Limited., Accra G/R",2,0,2,2,0,2,100.0,0.0
"El Thai Frozen Products Limited, Accra, G/R",2,0,2,1,0,2,100.0,0.0
"Multivet Gh. Limited., Accra",2,2,0,1,0,2,100.0,100.0
N&A Pharmacy Limited - J 45 Patase Kumasi,2,2,0,1,0,2,100.0,100.0
"N & N Crystals Co., Limited., Accra",2,0,2,0,0,0,100.0,0.0
N & A Pharmacy,2,2,0,1,0,2,100.0,100.0
"Mt Top Trader, Accra",2,0,2,1,0,2,100.0,0.0
"Naadjin Inv. Limited., Accra",2,0,2,1,0,1,100.0,0.0
"Nansu Apex, Hohoe, V/R",2,0,2,1,2,2,0.0,0.0
"Nankani & Hagan Limited., Accra",2,0,2,2,0,2,100.0,0.0
Nana Amma Moore Enterprise,2,0,0,2,0,1,100.0,0.0
Nambico Ventures,2,2,0,1,2,0,0.0,100.0
Nakoasis Trading And Exports Limited,2,0,2,2,0,2,100.0,0.0
"Edmak Zaps., Accra",2,0,0,1,2,2,0.0,0.0
"Edlizer Enterprise. P. O. Box 1574, Dansomsn Accra. Kw/B/14 Kwabenya",2,0,2,1,2,2,0.0,0.0
"Eden Orchards Catering Serv., Nsawam, E/R",2,0,2,1,2,2,0.0,0.0
Eden Optimum,2,0,2,1,2,2,0.0,0.0
Micro Labs Limited,2,2,0,0,0,2,100.0,100.0
"Mirensah Royal Ent., Accra",2,0,2,1,2,2,0.0,0.0
"Minarh Ent., Accra",2,0,2,1,2,2,0.0,0.0
"Epic Water Ent,A/R",2,0,2,1,2,2,0.0,0.0
"Eno'S Organics., Accra",2,0,0,1,2,2,0.0,0.0
"Mydda Enterprise., Accra",2,0,2,1,2,2,0.0,0.0
"Nature'S Nourish, Accra",2,0,2,1,2,2,0.0,0.0
Naturalin Company,2,2,0,1,2,2,0.0,100.0
"Nektasso Limited Co., G/R",2,0,2,1,0,2,100.0,0.0
"Nda Natural, Accra",2,0,2,1,2,2,0.0,0.0
"Nazareth Logistics Limited., Tema",2,0,0,2,0,0,100.0,0.0
"Easy Snails, Accra",2,0,2,1,2,2,0.0,0.0
"Eadoma Ventures., Accra",2,0,2,2,1,2,50.0,0.0
"Mimshach Shin Limited. Co., Accra",2,0,2,1,0,2,100.0,0.0
"Millennium Ohs Industries., Accra",2,0,2,1,2,2,0.0,0.0
"Milk Maid Lactation Treats., Accra",2,0,2,1,2,2,0.0,0.0
Milan Laboratories Pvt,2,2,0,1,0,2,100.0,100.0
Mifosu Laboratories Limited,2,2,0,1,0,2,100.0,100.0
Ea Naturalsgl-031-0004Osu Ako Adjeiklanaa Street,2,0,0,0,0,0,100.0,0.0
"Edchristy Vent., Limited., Accra",2,0,2,1,0,2,100.0,0.0
"Ed Yeboah Company Limited. Adum -Kumasi, A/R",2,0,2,2,0,2,100.0,0.0
"Ebek Export Enterprise, Mamprobi, G/R",2,0,2,1,2,2,0.0,0.0
Evangelist Temple Bryant Mission,2,2,0,0,0,2,100.0,100.0
"Eurospin Restaurant & Trading Services, Teshie",2,0,2,1,2,2,0.0,0.0
"Euro Consumer Food, C/R",2,0,2,1,2,2,0.0,0.0
"E-Samsano Enterprise, Creep Alley, Kojokrom, Ws-144-6309, W/R",2,0,2,0,0,0,100.0,0.0
Newnesscare,2,2,0,1,0,2,100.0,100.0
New Agricultural Services,2,0,2,1,0,2,100.0,0.0
Neumi,2,1,0,0,0,1,100.0,50.0
"Network For Societal Transformation, Accra",2,0,2,1,2,2,0.0,0.0
"Mical Nyame Nsa Group Of Companies, Amomokrom Akuapim",2,0,2,1,2,2,0.0,0.0
"Mh Trading Limited., Tema",2,0,2,1,0,2,100.0,0.0
"Merreta Foods & Events, Accra",2,0,2,1,2,2,0.0,0.0
"Essaar Agro West Africa Limited., Tema",2,0,2,1,2,2,0.0,0.0
"Esaawah Foods., Accra",2,0,2,1,2,2,0.0,0.0
"Errands Auctions Ent., Accra, Ga/R",2,0,2,1,0,2,100.0,0.0
Naveketan Pharma Pvt Limited,2,1,0,1,0,2,100.0,50.0
"Nature'S Treasure Foods Limited., Accra",2,0,2,1,0,2,100.0,0.0
"Northern Delicacies, Accra",2,0,2,1,2,2,0.0,0.0
"Nod Frozen Supplies Limited, Kokomlemle, G/R",2,0,2,2,0,2,100.0,0.0
Nissi Pharma Limited Adepa House Kimberly Avenue No 224 Accra,2,2,0,0,0,2,100.0,100.0
