Partner_Country,pharma_import_usd
india,144180918.64253846
france,24023113.409015797
germany,16237592.749869257
belgium,14851697.6822787
slovenia,10285019.097918715
china,9145695.605211196
switzerland,8408938.265033726
netherlands,7398328.773915325
united kingdom,5507933.460296825
united states of america,4846617.467994396
italy,4084903.0801919224
sweden,3596242.7056731433
spain,3085761.3226811895
denmark,2623371.7431954425
south africa,2242848.611866995
