HS4,Description_HS4,Tradevalue_USD
3004,"medicaments of mixed or unmixed products, for retail sale",223948852.76650327
3002,"human blood; animal blood; antisera, etc; vaccines, toxins, etc",36850900.3073598
3006,pharmaceutical goods specified in note 3 to this chapter,10699856.664614327
3003,"medicaments with >=2 constituents mixed together, not for retail sale",2214745.351135929
3005,"wadding, gauze, etc with pharmaceutical substances or for retail sale",1947772.143618741
3001,"glands, etc, dried; extracts of glands, etc; heparin and its salts; etc",99792.55988977336
