HS2,Description_HS2,imports,exports,net,label
83,miscellaneous articles of basee metal,56844179.61825894,3159818.628946954,-53684360.989311986,Miscellaneous Articles Of Basee Metal
56,"wadding, felt & nonwoven; yarns; twine, cordage, etc",58123861.386995964,466556.040511076,-57657305.346484885,"Wadding, Felt & Nonwoven; Yarns; Twine…"
20,"prep of vegetable, fruit, nuts or other parts of plants",80191788.92646818,20376057.00706317,-59815731.91940501,"Prep Of Vegetable, Fruit, Nuts Or Othe…"
19,"prep of cereal, flour, starch/milk; pastrycooks' prod",115840515.28074184,53978384.20180379,-61862131.07893805,"Prep Of Cereal, Flour, Starch/Milk; Pa…"
32,tanning/dyeing extract; tannins & derivs; pigm etc,100585345.00094816,36847798.56985214,-63737546.43109602,Tanning/Dyeing Extract; Tannins & Deri…
5,"products of animal origin, nes or included.",65864749.08661313,42058.469102032155,-65822690.6175111,"Products Of Animal Origin, Nes Or Incl…"
33,"essential oils & resinoids; perf, cosmetic/toilet prep",83189991.4609263,16643237.384533191,-66546754.076393105,"Essential Oils & Resinoids; Perf, Cosm…"
70,glass and glassware,75965226.93665916,1857154.6088394045,-74108072.32781975,Glass And Glassware
40,rubber and articles thereof,207338634.84009638,132194677.51448208,-75143957.3256143,Rubber And Articles Thereof
34,"soap, organic surface-active agents, washing prep, etc",133407395.665175,42331429.76376639,-91075965.90140861,"Soap, Organic Surface-Active Agents, W…"
21,miscellaneous edible preparations,125467597.92762521,30698585.67854136,-94769012.24908385,Miscellaneous Edible Preparations
4,dairy prod; birds' eggs; natural honey; edible prod nes,119920964.04954968,18725939.802478507,-101195024.24707118,Dairy Prod; Birds' Eggs; Natural Honey…
23,residues & waste from the food indust; prepr ani fodder,111808207.3555542,10557561.534058442,-101250645.82149576,Residues & Waste From The Food Indust;…
22,"beverages, spirits and vinegar",196823441.38651153,87317007.43471524,-109506433.9517963,"Beverages, Spirits And Vinegar"
94,"furniture; bedding, mattress, matt support, cushion etc",151342206.32744876,17922171.52193288,-133420034.80551587,"Furniture; Bedding, Mattress, Matt Sup…"
29,organic chemicals,142295826.9322506,2014789.4643310478,-140281037.46791953,Organic Chemicals
90,"optical, photo, cine, meas, checking, precision, etc",153754890.91367692,9242994.680166887,-144511896.23351002,"Optical, Photo, Cine, Meas, Checking, …"
63,other made up textile articles; sets; worn clothing etc,185290680.1920388,10194268.227399597,-175096411.96463922,Other Made Up Textile Articles; Sets; …
17,sugars and sugar confectionery,199332880.35267144,4825507.009775802,-194507373.34289566,Sugars And Sugar Confectionery
3,"fish & crustacean, mollusc & other aquatic invertebrate",257770146.03116134,61143262.86939886,-196626883.16176248,"Fish & Crustacean, Mollusc & Other Aqu…"
48,"paper & paperboard; art of paper pulp, paper/paperboard",242241488.36696747,30937777.764971208,-211303710.60199627,"Paper & Paperboard; Art Of Paper Pulp,…"
28,"inorgn chem; compds of prec met, radioact elements etc",246039113.89877126,25850351.36757755,-220188762.5311937,"Inorgn Chem; Compds Of Prec Met, Radio…"
30,pharmaceutical products,275761919.7931219,18100995.792341925,-257660924.00077996,Pharmaceutical Products
2,meat and edible meat offal,267901305.1851162,1115.8909613791498,-267900189.29415482,Meat And Edible Meat Offal
11,prod mill indust; malt; starches; inulin; wheat gluten,323562232.7495154,19196238.49062463,-304365994.2588908,Prod Mill Indust; Malt; Starches; Inul…
72,iron and steel,734644627.182368,338359075.3440594,-396285551.83830863,Iron And Steel
38,miscellaneous chemical products,450194142.3505437,34256035.54607352,-415938106.8044702,Miscellaneous Chemical Products
10,cereals,451989595.5834276,1026451.5505043865,-450963144.0329232,Cereals
73,articles of iron or steel,556417851.4426957,102931775.28754848,-453486076.15514725,Articles Of Iron Or Steel
31,fertilisers,539498410.5342215,72574786.7385921,-466923623.79562944,Fertilisers
25,salt; sulphur; earth & ston; plastering mat; lime & cem,565529486.292173,59430892.806609645,-506098593.4855634,Salt; Sulphur; Earth & Ston; Plasterin…
85,electrical mchy equip parts thereof; sound recorder etc,640891167.2225906,13583425.656538103,-627307741.5660524,Electrical Mchy Equip Parts Thereof; S…
39,plastics and articles thereof,827823777.3467793,178476898.62836188,-649346878.7184174,Plastics And Articles Thereof
87,"vehicles o/t railw/tramw roll-stock, pts & accessories",1610621759.4020472,37219964.50368665,-1573401794.8983605,"Vehicles O/T Railw/Tramw Roll-Stock, P…"
84,"nuclear reactors, boiliers, mchy & mech appliance; parts",1785756877.7476044,77471388.33958852,-1708285489.4080157,"Nuclear Reactors, Boiliers, Mchy & Mec…"
